# Depth	Radius	Density	Pressure	Temperature	c2c_ss	ferropericlase	perovskite	plagioclase	spinel	olivine	wadslyite	ringwoodite	orthopyroxene	clinopyroxene	akimotoite	garnet	postperovskite	kyanite	nephaline	coesite	seiferite	quartz	stishovite	cf	ca-perovskite	cfs	fmaj	Fe
5939.65292	0	13.13864	311.63363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5585.17475	354.47817	13.10696	308.56886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5492.9335	446.71942	13.08851	306.79262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5428.17945	511.47347	13.07301	305.30603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5376.59464	563.05828	13.05916	303.981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5333.00686	606.64606	13.04642	302.76453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5294.88457	644.76835	13.03448	301.62816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5260.77678	678.87614	13.02317	300.5544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5229.76523	709.88769	13.01238	299.53153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5201.22763	738.42529	13.00201	298.55119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5174.72048	764.93244	12.99201	297.6072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5149.91525	789.73767	12.98233	296.69477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5126.561	813.09192	12.97292	295.81013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5104.4612	835.19172	12.96376	294.95024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5083.45874	856.19418	12.95482	294.1126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5063.42581	876.22711	12.94608	293.29511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
